imie,LICZBA_WYSTĄPIEŃ
MARIA,1715508
ANNA,964991
BARBARA,457921
TERESA,447232
KATARZYNA,439498
EWA,399014
ELŻBIETA,355808
MAŁGORZATA,350769
ZOFIA,335445
MAGDALENA,313602
AGNIESZKA,293345
KRYSTYNA,268457
JADWIGA,256743
JANINA,227007
JOANNA,210421
HELENA,209136
STANISŁAWA,178860
MONIKA,167703
MARTA,152677
IRENA,152341
DANUTA,152119
DOROTA,139447
MARIANNA,128985
JOLANTA,126272
WERONIKA,124456
BEATA,122257
JÓZEFA,122214
KAZIMIERA,121640
ALEKSANDRA,120156
URSZULA,115751
KAROLINA,114760
HALINA,110833
WIKTORIA,106587
GRAŻYNA,106276
ALICJA,89969
JULIA,89338
BOŻENA,87909
IWONA,85819
WANDA,84995
AGATA,84251
IZABELA,81779
NATALIA,79452
JUSTYNA,75335
SYLWIA,73747
PAULINA,71748
STEFANIA,64304
ŁUCJA,61924
PATRYCJA,61395
RENATA,60943
KINGA,58251
ANTONINA,57430
WŁADYSŁAWA,55171
EMILIA,53281
WIESŁAWA,50107
DOMINIKA,47725
FRANCISZKA,47625
ANIELA,47435
ZUZANNA,45153
GABRIELA,44941
LUCYNA,44326
GENOWEFA,42791
MARZENA,42681
BRONISŁAWA,40663
EDYTA,39902
BOGUMIŁA,37724
LIDIA,37188
HANNA,36798
CECYLIA,36106
EWELINA,35954
HENRYKA,35306
KLAUDIA,33692
ANETA,32876
SABINA,32758
MARIOLA,32656
CZESŁAWA,32266
REGINA,32113
KAMILA,30841
MIROSŁAWA,30225
ALINA,28334
ROZALIA,27965
MICHALINA,27702
OLIWIA,27003
BOGUSŁAWA,26352
GERTRUDA,24621
DARIA,24261
RÓŻA,23375
LEOKADIA,22791
WIOLETTA,21516
ANGELIKA,20322
MAJA,20275
MARTYNA,19534
ZDZISŁAWA,18924
EUGENIA,17887
BERNADETA,17783
KLARA,17351
OLGA,17119
MIECZYSŁAWA,17106
ANASTAZJA,16833
AMELIA,15870
LUDWIKA,14284
LAURA,14053
ILONA,13129
ANITA,12454
HONORATA,12144
SANDRA,12008
DANIELA,11557
WIOLETA,11531
APOLONIA,11308
WACŁAWA,10735
BRYGIDA,10598
LENA,10594
DAGMARA,10513
CELINA,10357
JULIANNA,10338
MARLENA,10217
ELIZA,9777
NIKOLA,9379
WALERIA,9357
KORNELIA,9053
ELEONORA,8959
JAGODA,8761
KARINA,8685
SARA,8621
MILENA,8315
FAUSTYNA,8051
PELAGIA,8031
MATYLDA,7840
FELICJA,7526
ALDONA,7472
IZABELLA,7337
LUIZA,7294
ROMANA,7231
ROKSANA,7218
MAGDA,7041
ADRIANNA,7008
MARCELINA,6833
ŻANETA,6561
ADELA,6442
MALWINA,6281
FELIKSA,6063
ALFREDA,5959
NINA,5913
AURELIA,5799
DIANA,5767
BOŻENNA,5752
JULITA,5702
LILIANA,5571
PAULA,5461
NADIA,5371
RITA,5279
WALENTYNA,5262
VIOLETTA,5020
KONSTANCJA,5002
ELWIRA,4940
OTYLIA,4686
ADRIANA,4674
BERNADETTA,4592
ZENONA,4275
TEODORA,4250
IGA,4160
ALBINA,4100
ANDŻELIKA,4070
HILDEGARDA,3803
RYSZARDA,3755
JUDYTA,3753
ROMUALDA,3703
SALOMEA,3547
BOLESŁAWA,3522
TEKLA,3518
LILIANNA,3432
BLANKA,3334
JÓZEFINA,3320
ESTERA,3281
MARZANNA,3228
ZENOBIA,3211
BERNARDA,3184
LUDMIŁA,3163
TEODOZJA,3151
SONIA,3044
JAN,839548
PIOTR,670388
STANISŁAW,629492
JÓZEF,568208
ANDRZEJ,486883
PAWEŁ,448089
KRZYSZTOF,348767
ADAM,323936
KAZIMIERZ,274578
MAREK,273378
TOMASZ,270606
MICHAŁ,264689
JERZY,255306
MARIAN,237784
ANTONI,229085
FRANCISZEK,226567
TADEUSZ,225305
WOJCIECH,225066
GRZEGORZ,214429
MARCIN,198734
ŁUKASZ,174222
HENRYK,166215
ZBIGNIEW,166092
WŁADYSŁAW,162732
RYSZARD,161834
JAKUB,141266
ROBERT,138151
JACEK,136739
JANUSZ,131806
KAROL,121721
MATEUSZ,119571
MACIEJ,118832
ROMAN,115747
STEFAN,111902
MARIUSZ,103108
ALEKSANDER,101402
RAFAŁ,99475
EDWARD,98042
MIECZYSŁAW,96954
DARIUSZ,94563
SEBASTIAN,85501
MIROSŁAW,79825
CZESŁAW,78814
WIESŁAW,76871
ZDZISŁAW,76063
ZYGMUNT,73341
ARTUR,72120
KAMIL,68186
SŁAWOMIR,67402
MIKOŁAJ,65656
LESZEK,64479
BOGDAN,64297
SZYMON,63113
DANIEL,62843
DAWID,62448
JAROSŁAW,61947
EUGENIUSZ,60855
WALDEMAR,59237
DOMINIK,59163
WIKTOR,57742
DAMIAN,51992
SYLWESTER,51736
PATRYK,51691
KONRAD,47424
PRZEMYSŁAW,46600
BRONISŁAW,45206
BOLESŁAW,44538
BOGUSŁAW,44359
WACŁAW,42927
SZCZEPAN,41365
ARKADIUSZ,40882
WŁODZIMIERZ,39677
LEON,38751
KACPER,38472
WITOLD,38163
BARTŁOMIEJ,36508
IGNACY,35628
LUDWIK,34529
ZENON,34123
KRYSTIAN,33491
IRENEUSZ,32807
MAKSYMILIAN,32168
FILIP,32087
ADRIAN,32017
JULIAN,31508
FELIKS,29824
BARTOSZ,27521
BERNARD,26590
HUBERT,25251
EDMUND,23575
WINCENTY,23109
ALOJZY,23004
RADOSŁAW,22521
GABRIEL,20974
LUCJAN,19934
CEZARY,19179
LECH,18719
WALENTY,17772
NORBERT,17093
EMIL,14749
BOGUMIŁ,14352
TEODOR,13856
OSKAR,12804
BŁAŻEJ,12485
AUGUSTYN,12378
MARIA,11848
ROMUALD,11817
SEWERYN,11651
ALFRED,11620
BENEDYKT,11488
FLORIAN,10607
GERARD,10387
JOACHIM,10360
KONSTANTY,10170
IGOR,9803
LEONARD,9474
ERYK,9125
MIŁOSZ,8983
JULIUSZ,8900
WAWRZYNIEC,8646
ALBERT,8536
TEOFIL,7741
NIKODEM,7147
MARCEL,6708
WILHELM,6566
RUDOLF,6481
REMIGIUSZ,6427
OLIWIER,6426
ERNEST,6356
LESŁAW,6156
KSAWERY,6109
HIERONIM,6104
ADOLF,6065
KLEMENS,5956
LEOPOLD,5922
ALFONS,5874
KAJETAN,5744
RAJMUND,5619
BRUNON,5569
IZYDOR,5386
ALAN,5277
FABIAN,5074
EMANUEL,5066
MARCELI,4733
GUSTAW,4681
ALBIN,4681
FRYDERYK,4634
ROCH,4623
WALERIAN,4551
TYMOTEUSZ,4319
CYPRIAN,4032
KLAUDIUSZ,3707
ZYGFRYD,3625
OLAF,3428
BOHDAN,3278
GRACJAN,3276
ALEXANDER,3204
ALEKSY,2924
AUGUST,2896
BORYS,2593
WALTER,2571
MICHAEL,2544
FERDYNAND,2529
ERWIN,2529
TOBIASZ,2500
BENIAMIN,2465
JĘDRZEJ,2361
BRUNO,2344
KORNEL,2325
BONIFACY,2289
OLGIERD,2265
DAVID,2254
SERGIUSZ,2234
ŁUCJAN,2169
SAMUEL,2168
HERBERT,2120
LONGIN,2070
NATAN,2054
AMADEUSZ,2025
PAUL,2011
JACENTY,2003
JOHN,1976
MAURYCY,1973
EMILIAN,1887
PETER,1854
KUBA,1843
ROLAND,1814
MARTIN,1798
DIONIZY,1701
IWO,1615
EDWIN,1602
JOSEPH,1555
GINTER,1542
ARNOLD,1532
JAMES,1531
WIT,1510
MIESZKO,1496
IDZI,1487
THOMAS,1487
TYTUS,1475
ARIEL,1473
TYMON,1465
ZIEMOWIT,1441
WERNER,1418
HERMAN,1396
ELIGIUSZ,1373
EUZEBIUSZ,1367
BOŻYDAR,1343
KASPER,1343
HIPOLIT,1337
JEREMI,1318
HELMUT,1234
DORIAN,1206
APOLINARY,1166
JOSEF,1159
PATRICK,1132
HERONIM,1111
CYRYL,1110
OLIVIER,1076
DENIS,1061
OKTAWIAN,1055
KORDIAN,1030
RICHARD,1029
BAZYLI,1014
ALEX,1010
ANTHONY,1009
ALEKS,997
LECHOSŁAW,995
AMBROŻY,992
WILLIAM,992
OLIVER,983
NATANIEL,983
ANATOL,982
KRYSPIN,955
NARCYZ,952
CHRISTOPHER,944
URBAN,936
ANDREW,936
EWALD,932
MAKSYM,924
HILARY,923
KORNELIUSZ,913
GERHARD,901
KUMAR,893
FELICJAN,885
MELCHIOR,883
KOSMA,866
KOSTKA,862
ELIASZ,859
HORST,851
SZCZĘSNY,833
AURELIUSZ,833
MANFRED,813
OTTO,801
PATRYCJUSZ,791
CHRISTIAN,790
MIRON,786
ANTONIO,757
JUSTYN,756
ANDREAS,756
SINGH,744
BALTAZAR,743
DONAT,723
OLIWER,718
MARK,717
JEREMIASZ,715
DIETER,713
LUDOMIR,712
MAKS,712
BENON,707
APOLONIUSZ,701
WAWRZYN,695
MANUEL,694
HEINZ,680
KURT,657
LUBOMIR,656
HUGO,653
WALERY,648
JONATAN,645
JONASZ,640
ANASTAZY,635
ROGER,634
ZBYSŁAW,632
ZBYSZEK,629
MAXIMILIAN,627
VICTOR,623
KEVIN,621
RAFAEL,618
BRAJAN,611
BENJAMIN,600
JAROMIR,586
JACOB,583
ZACHARIASZ,581
JOHANNES,577
WOLFGANG,574
GEORGE,568
NICOLAS,567
JANUARY,567
RUFIN,566
HENRY,556
MAX,549
ARON,546
ALI,542
GEORG,535
MILAN,531
EWARYST,527
KEWIN,525
ZBYSZKO,519
BOGUSZ,516
CELESTYN,514
CHARLES,495
DAMAZY,487
GWIDON,486
MIGUEL,485
LEO,485
ZENOBIUSZ,478
VINCENT,478
SERAFIN,473
KLAUS,465
MATTHEW,455
MAKARY,454
ENGELBERT,448
JOHANN,445
DYONIZY,444
OTTON,443
JORDAN,439
KARL,434
MARIO,433
EDGAR,431
OSWALD,430
BONAWENTURA,427
KRYSTYN,427
OSCAR,426
FRANZ,422
SATURNIN,422
RADOMIR,420
BARNABA,416
JOZEF,415
JOSE,414
STANISLAW,412
LUKAS,412
MEDARD,409
NAPOLEON,404
NICHOLAS,401
KANTY,400
SOBIESŁAW,397
EUSTACHY,395
TELESFOR,394
ARTHUR,394
JAVIER,393
LEW,391
JEAN,391
ALBERTO,383
PHILIP,383
FRANCIS,382
WINICJUSZ,382
WILLI,379
MODEST,370
CARLOS,366
DYMITR,365
SIMON,364
PIERRE,359
JUREK,358
LUIS,354
WIEŃCZYSŁAW,353
HANS,353
ANTON,352
DOBROSŁAW,351
REINHOLD,348
GABRYEL,348
MICHEL,347
ERAZM,345

GUSTAV,101

